
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   2 |      650 | Navigations_headed_xml/Parsed_texts/A06861_parsed_text.txt   |    16666 |   1.000000
   3 |      710 | Navigations_headed_xml/Parsed_texts/A21330_parsed_text.txt   |    42319 |   1.000000
   4 |       53 | Navigations_headed_xml/Parsed_texts/A04024_parsed_text.txt   |    61637 |   1.000000
   5 |      159 | Navigations_headed_xml/Parsed_texts/A01828_parsed_text.txt   |    56347 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | theyr           |   0.007923
   2 | hym             |   0.007568
   3 | whiche          |   0.005902
   4 | wyth            |   0.005398
   5 | grete           |   0.004282

######## Topic 9 ########
Documents: 52 (7.04%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      658 | Navigations_headed_xml/Parsed_texts/A38921_parsed_text.txt   |     7603 |   1.000000
   2 |      705 | Navigations_headed_xml/Parsed_texts/A48692_parsed_text.txt   |     8273 |   1.000000
   3 |      396 | Navigations_headed_xml/Parsed_texts/A34277_parsed_text.txt   |     6701 |   1.000000
   4 |      453 | Navigations_headed_xml/Parsed_texts/A38952_parsed_text.txt   |    10470 |   1.000000
   5 |       94 | Navigations_headed_xml/Parsed_texts/A40581_parsed_text.txt   |     9352 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | dublin          |   0.004493
   2 | 1689            |   0.004037
   3 | irish           |   0.003931
   4 | schomberg       |   0.003780
   5 | kah             |   0.003777

