
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   6 | sayd            |   0.012852 |      1.29%
   7 | sayde           |   0.012375 |      1.24%
   8 | queenes         |   0.009504 |      0.95%
   9 | spaine          |   0.008904 |      0.89%
  10 | queene          |   0.008570 |      0.86%
  11 | vnto            |   0.008224 |      0.82%
  12 | vpon            |   0.008220 |      0.82%
  13 | companie        |   0.008165 |      0.82%
  14 | bee             |   0.007042 |      0.70%
  15 | corne           |   0.007041 |      0.70%
  16 | her             |   0.007030 |      0.70%
  17 | maner           |   0.006783 |      0.68%
  18 | shippes         |   0.005868 |      0.59%
  19 | giuen           |   0.005567 |      0.56%
  20 | proclamation    |   0.005398 |      0.54%

######## Topic 24 ########
Documents: 10 (1.35%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | subiects        |   0.026111 |      2.61%
   2 | realme          |   0.022984 |      2.30%
   3 | maiesties       |   0.014018 |      1.40%
   4 | aswell          |   0.013098 |      1.31%
   5 | haue            |   0.012536 |      1.25%
   6 | proclamation    |   0.012235 |      1.22%
   7 | kingdome        |   0.011086 |      1.11%
   8 | maiestie        |   0.011019 |      1.10%
   9 | doe             |   0.010898 |      1.09%
  10 | yeere           |   0.010731 |      1.07%
  11 | wee             |   0.010034 |      1.00%
  12 | whatsoeuer      |   0.009953 |      1.00%
  13 | wales           |   0.009572 |      0.96%
  14 | bee             |   0.008680 |      0.87%
  15 | vpon            |   0.008136 |      0.81%
  16 | scotland        |   0.008111 |      0.81%
  17 | james           |   0.007948 |      0.79%
  18 | seruice         |   0.007943 |      0.79%
  19 | sovereign       |   0.007887 |      0.79%
  20 | reigne          |   0.007798 |      0.78%

######## Topic 25 ########
Documents: 18 (2.44%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | theyr           |   0.036037 |      3.60%
   2 | wyth            |   0.032697 |      3.27%
   3 | whiche          |   0.028979 |      2.90%
   4 | hys             |   0.021230 |      2.12%
   5 | dyd             |   0.015546 |      1.55%
   6 | tyme            |   0.015225 |      1.52%
   7 | kyng            |   0.014930 |      1.49%
   8 | suche           |   0.014205 |      1.42%
   9 | hym             |   0.013981 |      1.40%
  10 | haue            |   0.013348 |      1.33%
  11 | thys            |   0.011971 |      1.20%
  12 | greate          |   0.010515 |      1.05%
  13 | lyke            |   0.009960 |      1.00%
  14 | moste           |   0.009708 |      0.97%
  15 | muche           |   0.008319 |      0.83%
  16 | whyche          |   0.008006 |      0.80%
  17 | lorde           |   0.008002 |      0.80%
  18 | sayde           |   0.007631 |      0.76%
  19 | vnto            |   0.007605 |      0.76%
  20 | doo             |   0.007248 |      0.72%

######## Topic 26 ########
Documents: 51 (6.90%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | church          |   0.005180 |      0.52%
   2 | have            |   0.004797 |      0.48%
   3 | its             |   0.004607 |      0.46%
   4 | city            |   0.004464 |      0.45%
   5 | st              |   0.003736 |      0.37%
   6 | upon            |   0.003385 |      0.34%
   7 | four            |   0.002984 |      0.30%
   8 | italy           |   0.002844 |      0.28%
   9 | year            |   0.002792 |      0.28%
  10 | altar           |   0.002782 |      0.28%
  11 | several         |   0.002733 |      0.27%
  12 | built           |   0.002612 |      0.26%
  13 | bishop          |   0.002512 |      0.25%
  14 | spain           |   0.002458 |      0.25%
  15 | town            |   0.002412 |      0.24%
  16 | rome            |   0.002344 |      0.23%
  17 | over            |   0.002333 |      0.23%
  18 | dr              |   0.002275 |      0.23%
