
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
  17 | bill            |   0.006176 |      0.62%
  18 | ships           |   0.006146 |      0.61%
  19 | 2013            |   0.005753 |      0.58%
  20 | every           |   0.005476 |      0.55%

######## Topic 19 ########
Documents: 9 (1.22%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | parliament      |   0.016360 |      1.64%
   2 | your            |   0.013187 |      1.32%
   3 | you             |   0.011329 |      1.13%
   4 | commons         |   0.009426 |      0.94%
   5 | have            |   0.008543 |      0.85%
   6 | message         |   0.006475 |      0.65%
   7 | concerning      |   0.006105 |      0.61%
   8 | petition        |   0.005928 |      0.59%
   9 | maiesty         |   0.005881 |      0.59%
  10 | kingdome        |   0.005823 |      0.58%
  11 | mr              |   0.005480 |      0.55%
  12 | holland         |   0.004947 |      0.49%
  13 | religion        |   0.004631 |      0.46%
  14 | majesty         |   0.004244 |      0.42%
  15 | wou             |   0.004128 |      0.41%
  16 | lords           |   0.003719 |      0.37%
  17 | letter          |   0.003421 |      0.34%
  18 | em              |   0.003243 |      0.32%
  19 | sent            |   0.003238 |      0.32%
  20 | ambassador      |   0.003165 |      0.32%

######## Topic 20 ########
Documents: 6 (0.81%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | plantations     |   0.017414 |      1.74%
   2 | plantation      |   0.012887 |      1.29%
   3 | tobacco         |   0.010325 |      1.03%
   4 | virginia        |   0.009588 |      0.96%
   5 | 2013            |   0.008196 |      0.82%
   6 | mariners        |   0.007852 |      0.79%
   7 | our             |   0.007499 |      0.75%
   8 | england         |   0.007438 |      0.74%
   9 | trade           |   0.007423 |      0.74%
  10 | proclamation    |   0.006954 |      0.70%
  11 | hereby          |   0.006912 |      0.69%
  12 | america         |   0.006553 |      0.66%
  13 | your            |   0.006509 |      0.65%
  14 | 2014            |   0.005465 |      0.55%
  15 | royall          |   0.005208 |      0.52%
  16 | duty            |   0.004956 |      0.50%
  17 | wee             |   0.004939 |      0.49%
  18 | sovereign       |   0.004817 |      0.48%
  19 | will            |   0.004773 |      0.48%
  20 | inne            |   0.004767 |      0.48%

######## Topic 21 ########
Documents: 37 (5.01%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | citie           |   0.011468 |      1.15%
   2 | riuer           |   0.009318 |      0.93%
   3 | cittie          |   0.008607 |      0.86%
   4 | towne           |   0.007961 |      0.80%
   5 | standeth        |   0.005958 |      0.60%
   6 | hee             |   0.005144 |      0.51%
   7 | called          |   0.004979 |      0.50%
   8 | countrie        |   0.004863 |      0.49%
   9 | neere           |   0.004451 |      0.45%
  10 | foure           |   0.004149 |      0.41%
  11 | verie           |   0.003793 |      0.38%
  12 | mountaines      |   0.003748 |      0.37%
  13 | riuers          |   0.003736 |      0.37%
  14 | mountaine       |   0.003724 |      0.37%
