
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | vs              |   0.012788 |      1.28%
   2 | wee             |   0.011619 |      1.16%
   3 | captaine        |   0.008824 |      0.88%
   4 | admirall        |   0.008334 |      0.83%
   5 | vpon            |   0.008051 |      0.81%
   6 | generall        |   0.007657 |      0.77%
   7 | shippes         |   0.007652 |      0.77%
   8 | maister         |   0.007329 |      0.73%
   9 | tooke           |   0.007073 |      0.71%
  10 | shippe          |   0.006511 |      0.65%
  11 | haue            |   0.006444 |      0.64%
  12 | iune            |   0.006124 |      0.61%
  13 | peeces          |   0.005744 |      0.57%
  14 | iland           |   0.005219 |      0.52%
  15 | foure           |   0.005004 |      0.50%
  16 | fiue            |   0.004977 |      0.50%
  17 | iohn            |   0.004885 |      0.49%
  18 | towne           |   0.004803 |      0.48%
  19 | againe          |   0.004768 |      0.48%
  20 | companie        |   0.004728 |      0.47%

######## Topic 19 ########
Documents: 25 (3.38%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | county          |   0.012510 |      1.25%
   2 | shire           |   0.009370 |      0.94%
   3 | earl            |   0.008108 |      0.81%
   4 | edward          |   0.007257 |      0.73%
   5 | henry           |   0.006955 |      0.70%
   6 | river           |   0.006946 |      0.69%
   7 | john            |   0.006650 |      0.66%
   8 | richard         |   0.006111 |      0.61%
   9 | esq             |   0.004968 |      0.50%
  10 | mayor           |   0.004764 |      0.48%
  11 | robert          |   0.004700 |      0.47%
  12 | william         |   0.004655 |      0.47%
  13 | parish          |   0.004630 |      0.46%
  14 | sir             |   0.004211 |      0.42%
  15 | thomas          |   0.004163 |      0.42%
  16 | anno            |   0.004145 |      0.41%
  17 | lath            |   0.004109 |      0.41%
  18 | bishop          |   0.004106 |      0.41%
  19 | church          |   0.004058 |      0.41%
  20 | 72              |   0.004034 |      0.40%


############################################################
# TABLE 3: TOP 5 DOCS PER TOPIC & THEIR TOPIC'S BEST WORDS #
############################################################

######## Topic 0 ########
Documents: 28 (3.79%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      537 | Navigations_headed_xml/Parsed_texts/A22026_parsed_text.txt   |     5544 |   1.000000
   2 |       45 | Navigations_headed_xml/Parsed_texts/A22549_parsed_text.txt   |     7751 |   1.000000
   3 |      660 | Navigations_headed_xml/Parsed_texts/A22067_parsed_text.txt   |     8663 |   1.000000
   4 |      439 | Navigations_headed_xml/Parsed_texts/A21771_parsed_text.txt   |     9373 |   1.000000
   5 |      556 | Navigations_headed_xml/Parsed_texts/A22436_parsed_text.txt   |     7721 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | maiestie        |   0.023261
   2 | subiects        |   0.020752
   3 | maiesties       |   0.020316
   4 | realme          |   0.019229
   5 | haue            |   0.013419

######## Topic 1 ########
Documents: 38 (5.14%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      528 | Navigations_headed_xml/Parsed_texts/A25307_parsed_text.txt   |     6981 |   1.000000
   2 |       76 | Navigations_headed_xml/Parsed_texts/A40567_parsed_text.txt   |     6463 |   1.000000
   3 |       94 | Navigations_headed_xml/Parsed_texts/A40581_parsed_text.txt   |     9352 |   1.000000
   4 |      180 | Navigations_headed_xml/Parsed_texts/A40561_parsed_text.txt   |     6761 |   1.000000
   5 |       35 | Navigations_headed_xml/Parsed_texts/A25336_parsed_text.txt   |     6954 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | dublin          |   0.015719
   2 | irish           |   0.011963
   3 | ireland         |   0.010160
   4 | capt            |   0.008171
