
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   3 |      180 | Navigations_headed_xml/Parsed_texts/A40561_parsed_text.txt   |     6761 |   0.981785
   4 |       51 | Navigations_headed_xml/Parsed_texts/A51134_parsed_text.txt   |     6780 |   0.972345
   5 |       94 | Navigations_headed_xml/Parsed_texts/A40581_parsed_text.txt   |     9352 |   0.953504

Rank | Word            |      Value
-----------------------------------
   1 | 00              |   0.010002
   2 | dublin          |   0.009388
   3 | irish           |   0.007799
   4 | county          |   0.007742
   5 | town            |   0.007499

