######## Topic 0 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
  25 | con             |   0.000865 |      0.09%
  26 | per             |   0.000827 |      0.08%
  27 | whatsoever      |   0.000817 |      0.08%
  28 | charles         |   0.000779 |      0.08%
  29 | spain           |   0.000756 |      0.08%
  30 | free            |   0.000750 |      0.08%
  31 | company         |   0.000745 |      0.07%
  32 | further         |   0.000729 |      0.07%
  33 | party           |   0.000727 |      0.07%
  34 | treaty          |   0.000703 |      0.07%
  35 | act             |   0.000697 |      0.07%
  36 | authority       |   0.000694 |      0.07%
  37 | port            |   0.000691 |      0.07%
  38 | dominions       |   0.000688 |      0.07%
  39 | belonging       |   0.000682 |      0.07%
  40 | countries       |   0.000670 |      0.07%
  41 | charge          |   0.000669 |      0.07%
  42 | ports           |   0.000645 |      0.06%
  43 | britain         |   0.000635 |      0.06%
  44 | lands           |   0.000626 |      0.06%
  45 | ministers       |   0.000624 |      0.06%
  46 | paid            |   0.000616 |      0.06%
  47 | contrary        |   0.000604 |      0.06%
  48 | commodities     |   0.000591 |      0.06%
  49 | letters         |   0.000588 |      0.06%
  50 | pro             |   0.000583 |      0.06%

Excluded Words:
or, be, as, shall, any, said, king, them, other, such


######## Topic 12 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | wife            |   0.001513 |      0.15%
   2 | heir            |   0.001459 |      0.15%
   3 | prior           |   0.001428 |      0.14%
   4 | heirs           |   0.001364 |      0.14%
   5 | ad              |   0.001341 |      0.13%
   6 | held            |   0.001311 |      0.13%
   7 | viz             |   0.001275 |      0.13%
   8 | ric             |   0.001163 |      0.12%
   9 | warwick         |   0.001090 |      0.11%
  10 | mannour         |   0.001068 |      0.11%
  11 | granted         |   0.001021 |      0.10%
  12 | est             |   0.001008 |      0.10%
  13 | issue           |   0.000988 |      0.10%
  14 | rob             |   0.000937 |      0.09%
  15 | qui             |   0.000932 |      0.09%
  16 | conv            |   0.000922 |      0.09%
  17 | monks           |   0.000920 |      0.09%
  18 | cap             |   0.000901 |      0.09%
  19 | li              |   0.000848 |      0.08%
  20 | pbr             |   0.000833 |      0.08%
  21 | quod            |   0.000817 |      0.08%
  22 | eliz            |   0.000801 |      0.08%
  23 | cum             |   0.000782 |      0.08%
  24 | non             |   0.000742 |      0.07%
  25 | et              |   0.000739 |      0.07%
  26 | fee             |   0.000718 |      0.07%
  27 | obiit           |   0.000696 |      0.07%
  28 | grant           |   0.000690 |      0.07%
  29 | afterwards      |   0.000678 |      0.07%
  30 | le              |   0.000673 |      0.07%
  31 | edw             |   0.000665 |      0.07%
  32 | ecclesiae       |   0.000652 |      0.07%
  33 | marks           |   0.000650 |      0.06%
  34 | coventre        |   0.000618 |      0.06%
  35 | cler            |   0.000613 |      0.06%
  36 | yard            |   0.000613 |      0.06%
  37 | ex              |   0.000610 |      0.06%
  38 | filia           |   0.000591 |      0.06%
  39 | canons          |   0.000566 |      0.06%
  40 | roger           |   0.000558 |      0.06%
  41 | dyed            |   0.000548 |      0.05%
  42 | kenilworth      |   0.000545 |      0.05%
